"","water_year","month","TimePeriod","position","Node","Species","Life_Stage","Hydraulic","bottom_type","Low","Medium","High","Suitability_Class"
"1",NA,NA,"critical","LOB","11101250","SAS","Juvenile","Depth","Soft",21,19,16,"Partial"
"2",NA,NA,"critical","MC","11101250","SAS","Juvenile","Depth","Soft",26,126,55,"High"
"3",NA,NA,"critical","ROB","11101250","SAS","Juvenile","Depth","Soft",21,26,23,"High"
"4",NA,NA,"critical","LOB","F300","SAS","Juvenile","Depth","Soft",22,2,0,"Partial"
"5",NA,NA,"critical","MC","F300","SAS","Juvenile","Depth","Soft",6,142,165,"High"
"6",NA,NA,"critical","ROB","F300","SAS","Juvenile","Depth","Soft",22,2,0,"Partial"
"7",NA,NA,"critical","MC","F319","SAS","Juvenile","Depth","Concrete",1,120,122,"High"
"8",NA,NA,"critical","MC","F34D","SAS","Juvenile","Depth","Concrete",1,103,116,"High"
"9",NA,NA,"critical","MC","F37BHigh","SAS","Juvenile","Depth","Soft",93,0,0,"Partial"
"10",NA,NA,"critical","LOB","F37BLow","SAS","Juvenile","Depth","Soft",3,0,0,"Low"
"11",NA,NA,"critical","MC","F37BLow","SAS","Juvenile","Depth","Soft",56,0,0,"Partial"
"12",NA,NA,"critical","ROB","F37BLow","SAS","Juvenile","Depth","Soft",83,90,21,"High"
"13",NA,NA,"critical","MC","F45B","SAS","Juvenile","Depth","Concrete",13,0,0,"Partial"
"14",NA,NA,"critical","LOB","F57C","SAS","Juvenile","Depth","Soft",1,133,145,"High"
"15",NA,NA,"critical","MC","F57C","SAS","Juvenile","Depth","Soft",1,127,187,"High"
"16",NA,NA,"critical","ROB","F57C","SAS","Juvenile","Depth","Soft",6,0,0,"Low"
"17",NA,NA,"critical","LOB","GLEN","SAS","Juvenile","Depth","Soft",1,122,128,"High"
"18",NA,NA,"critical","MC","GLEN","SAS","Juvenile","Depth","Soft",19,3,2,"Partial"
"19",NA,NA,"critical","ROB","GLEN","SAS","Juvenile","Depth","Soft",1,7,3,"Partial"
"20",NA,NA,"critical","MC","LA1","SAS","Juvenile","Depth","Concrete",1,120,123,"High"
"21",NA,NA,"critical","LOB","LA11","SAS","Juvenile","Depth","Soft",22,3,3,"Partial"
"22",NA,NA,"critical","MC","LA11","SAS","Juvenile","Depth","Soft",1,124,177,"High"
"23",NA,NA,"critical","ROB","LA11","SAS","Juvenile","Depth","Soft",8,0,0,"Partial"
"24",NA,NA,"critical","MC","LA13","SAS","Juvenile","Depth","Concrete",12,1,0,"Partial"
"25",NA,NA,"critical","LOB","LA14","SAS","Juvenile","Depth","Soft",5,4,4,"Low"
"26",NA,NA,"critical","MC","LA14","SAS","Juvenile","Depth","Soft",9,0,0,"Partial"
"27",NA,NA,"critical","ROB","LA14","SAS","Juvenile","Depth","Soft",1,123,159,"High"
"28",NA,NA,"critical","LOB","LA2","SAS","Juvenile","Depth","Soft",6,0,0,"Low"
"29",NA,NA,"critical","MC","LA2","SAS","Juvenile","Depth","Soft",1,0,0,"Low"
"30",NA,NA,"critical","ROB","LA2","SAS","Juvenile","Depth","Soft",8,0,0,"Partial"
"31",NA,NA,"critical","LOB","LA20","SAS","Juvenile","Depth","Soft",4,0,0,"Low"
"32",NA,NA,"critical","MC","LA20","SAS","Juvenile","Depth","Soft",68,81,28,"High"
"33",NA,NA,"critical","ROB","LA20","SAS","Juvenile","Depth","Soft",4,0,0,"Low"
"34",NA,NA,"critical","LOB","LA202","SAS","Juvenile","Depth","Soft",0,0,0,"Low"
"35",NA,NA,"critical","MC","LA202","SAS","Juvenile","Depth","Soft",1,0,0,"Low"
"36",NA,NA,"critical","ROB","LA202","SAS","Juvenile","Depth","Soft",0,0,0,"Low"
"37",NA,NA,"critical","LOB","LA3","SAS","Juvenile","Depth","Soft",24,2,0,"Partial"
"38",NA,NA,"critical","MC","LA3","SAS","Juvenile","Depth","Soft",1,117,123,"High"
"39",NA,NA,"critical","ROB","LA3","SAS","Juvenile","Depth","Soft",24,2,0,"Partial"
"40",NA,NA,"critical","LOB","LA8","SAS","Juvenile","Depth","Soft",1,8,3,"Partial"
"41",NA,NA,"critical","MC","LA8","SAS","Juvenile","Depth","Soft",1,116,176,"High"
"42",NA,NA,"critical","ROB","LA8","SAS","Juvenile","Depth","Soft",1,8,3,"Partial"
